"collection codes","number of results"
"DNA","49"
"P","3362"
"PI","218"
"UWRF","0"
"Fish","119"
"Ento","58"
"ENT","84"
"IZ","69"
"Para","138"
"HERP","41"
"Herp","41"
"T1","1"
"B2","5"
"Ph4","0"
"P7","1"
"S9","1"
"BIC","3"
"CHN","0"
"CNNE","0"
"Maduranga","0"
"Watanuki","0"
"ZOOL","93"
"Cr","404"
"LEPID","26"
"I-L","0"
"F","2106"
"ANN","43"
"AAr","5"
"ZC","2"
"Sakata","0"
"Pl","1617"
"Fungi","408"
"ZPL","1"
"Sinthu","0"
"R.Nicoletti","0"
"Rossanna","0"
"ADN","2"
"Birds","65"
"ASC","27"
"ICT","3"
"FISH","119"
"Fungos","1"
"Hedayat-Evright","0"
"I","0"
"Charoonluk","0"
"CNAN","0"
"MAMM","83"
"X.Yao","0"
"CGR","1"
"Moll","39"
"liuchunlai,liuliang","0"
"ICH","25"
"ORN","52"
"IA","21"
"Hollinger","0"
"DNA Bank",""
"Herbarium Berolinense",""
"Ya Zhang",""
"Mingliang and Jirimutu",""
"Amalendu Ghosh",""
"Xiaodong Jiang",""
"M. Hayder",""
"I. Silas",""
"Veli Vikberg",""
"Ole Lonnve",""
"Zhang YanLong",""
"Zhaohui Luo",""
"Atsushi Kawakita",""
"Yoshio Tani",""
"Koukichi Maruyama",""
"Atsushi Sugano",""
"Tomoko Fukuda",""
"Jiri Hulcr",""
"Matt Kasson",""
"Shingo Akita",""
"Susumu Yoshizawa",""
"Hiroshi Masumoto",""
"Kojiro Hara",""
"Ming-Hsun Chou",""
"Yume Imada",""
"Rosana Rocha",""
"Sylvia Schaeffer",""
"T. Aeman",""
"Marianne Nyegaard",""
"S Atherton",""
"Huiqin Xing",""
"Chevonne Reynolds",""
"Institute of Agricultural Sciences-Spanish Natural Research Council",""
"Liliana Davalos",""
"Renli Zhang",""
"Shannon Adams",""
"Dominik Begerow culture collection",""
"Prmanshayev Mamay",""
"chunlai liu",""
"xinmin li",""
"Kevin Keegan",""
"Feifei Li",""
"Herp Image",""
"Damon Tighe",""
"Herp Tissue",""
"Mara DeMers",""
"Valerio Monteiro Neto",""
"Meijia Li",""
"Ali Mansour",""
