"Acronyms","Frequency"
"AAr",24
"ADN",4
"Ali Mansour",3
"Amalendu Ghosh",1
"ANN",18
"ASC",8
"Atsushi Kawakita",4
"Atsushi Sugano",83
"B2",1
"BIC",111
"Birds",292
"CGR",3
"Charoonluk",2
"Chevonne Reynolds",40
"CHN",5
"chunlai liu",1
"CNAN",8
"CNNE",8
"Cr",9
"Damon Tighe",5
"DNA",10
"DNA Bank",38
"Dominik Begerow culture collection",10
"ENT",466
"Ento",11
"F",1
"Feifei Li",383
"Fish",55
"FISH",151
"Fungi",1
"Fungos",10
"Hedayat-Evright",18
"Herbarium Berolinense",38
"Herp",503
"HERP",20
"Herp Image",61
"Herp Tissue",1
"Hiroshi Masumoto",2
"Hollinger",2
"Huiqin Xing",33
"I",1
"I-L",2
"I. Silas",2
"IA",1
"ICH",18
"ICT",14
"Institute of Agricultural Sciences-Spanish Natural Research Council",5
"IZ",903
"Jiri Hulcr",21
"Kevin Keegan",3
"Kojiro Hara",6
"Koukichi Maruyama",4
"LEPID",22
"Liliana Davalos",28
"liuchunlai,liuliang",3
"M. Hayder",1
"Maduranga",84
"MAMM",132
"Mara DeMers",229
"Marianne Nyegaard",3
"Matt Kasson",1
"Meijia Li",24
"Ming-Hsun Chou",126
"Mingliang and Jirimutu",9
"Moll",1
"Ole Lonnve",3
"ORN",23
"P",50
"P7",1
"Para",86
"Ph4",1
"PI",1
"Pl",6
"Prmanshayev Mamay",6
"R.Nicoletti",3
"Renli Zhang",1
"Rosana Rocha",1
"Rossanna",68
"S Atherton",16
"S9",1
"Sakata",1
"Shannon Adams",1
"Shingo Akita",25
"Sinthu",28
"Susumu Yoshizawa",1
"Sylvia Schaeffer",1
"T. Aeman",1
"T1",1
"Tomoko Fukuda",2
"UWRF",8
"Valerio Monteiro Neto",10
"Veli Vikberg",3
"Watanuki",1
"X.Yao",3
"Xiaodong Jiang",37
"xinmin li",6
"Ya Zhang",1
"Yoshio Tani",3
"Yume Imada",5
"ZC",4
"Zhang YanLong",3
"Zhaohui Luo",3
"ZOOL",51
"ZPL",9
