"Accession","Species","BGT.database...and.source.material","Voucher.info","Institution.code"
"","Quercus sp.","Silica","Hoang et al. V5101 (DLU, FU), Vietnam","DLU, FU"
"LC318494","Quercus poilanei Hickel & A. Camus","Silica","Yahara et al. V2986 (KYO), Vietnam","KYO"
"LC318497","Quercus austrocochinchinensis Hickel & A. Camus","Silica","Ngoc et al. V3129 (KYO), Vietnam","KYO"
"LC318498","Quercus auricoma A. Camus","Silica","Ngoc et al. V3135 (KYO), Vietnam","KYO"
"LC318509","Q. bambusifolia Hance","Silica","Ngoc et al. V3788 (KYO), Vietnam","KYO"
"LC318516","Quercus annulata Sm.","Silica","Tagane et al. V4730 (KYO), Vietnam","KYO"
"LC318520","Quercus macrocalyx Hickel & A. Camus","Silica","Tagane et al. V6457 (KYO), Vietnam","KYO"
"LC318521","Quercus kerri Craib","Silica","Tagane et al. V6765 (KYO), Vietnam","KYO"
"LC318774","Quercus poilanei Hickel & A. Camus","Silica","Yahara et al. V2986 (KYO), Vietnam","KYO"
"LC318777","Quercus austrocochinchinensis Hickel & A. Camus","Silica","Ngoc et al. V3129 (KYO), Vietnam","KYO"
"LC318778","Quercus auricoma A. Camus","Silica","Ngoc et al. V3135 (KYO), Vietnam","KYO"
"LC318789","Q. bambusifolia Hance","Silica","Ngoc et al. V3788 (KYO), Vietnam","KYO"
"LC318796","Quercus annulata Sm.","Silica","Tagane et al. V4730 (KYO), Vietnam","KYO"
"LC318800","Quercus macrocalyx Hickel & A. Camus","Silica","Tagane et al. V6457 (KYO), Vietnam","KYO"
"LC318801","Quercus kerri Craib","Silica","Tagane et al. V6765 (KYO), Vietnam","KYO"
"MF770273","Quercus poilanei Hickel & A. Camus","Silica","Yahara et al. V2986 (KYO), Vietnam","KYO"
"MF770276","Quercus austrocochinchinensis Hickel & A. Camus","Silica","Ngoc et al. V3129 (KYO), Vietnam","KYO"
"MF770277","Quercus auricoma A. Camus","Silica","Ngoc et al. V3135 (KYO), Vietnam","KYO"
"MF770284","Q. bambusifolia Hance","Silica","Ngoc et al. V3788 (KYO), Vietnam","KYO"
"MF770291","Quercus annulata Sm.","Silica","Tagane et al. V4730 (KYO), Vietnam","KYO"
"MF770294","Quercus macrocalyx Hickel & A. Camus","Silica","Tagane et al. V6457 (KYO), Vietnam","KYO"
"MF770295","Quercus kerri Craib","Silica","Tagane et al. V6765 (KYO), Vietnam","KYO"
