accession,scientific_name,specimen_voucher,institution_code,specimen_id
,Quercus sp.,,,
LC318494,Quercus poilanei,FU<JPN>:V2986,FU<JPN>,V2986
LC318497,Quercus austrocochinchinensis,FU<JPN>:V3129,FU<JPN>,V3129
LC318498,Quercus auricoma,FU<JPN>:V3135,FU<JPN>,V3135
LC318509,Quercus neglecta,FU<JPN>:V3788,FU<JPN>,V3788
LC318516,Quercus annulata,FU<JPN>:V4730,FU<JPN>,V4730
LC318520,Quercus macrocalyx,FU<JPN>:V6457,FU<JPN>,V6457
LC318521,Quercus kerrii,FU<JPN>:V6765,FU<JPN>,V6765
LC318774,Quercus poilanei,FU<JPN>:V2986,FU<JPN>,V2986
LC318777,Quercus austrocochinchinensis,FU<JPN>:V3129,FU<JPN>,V3129
LC318778,Quercus auricoma,FU<JPN>:V3135,FU<JPN>,V3135
LC318789,Quercus neglecta,FU<JPN>:V3788,FU<JPN>,V3788
LC318796,Quercus annulata,FU<JPN>:V4730,FU<JPN>,V4730
LC318800,Quercus macrocalyx,FU<JPN>:V6457,FU<JPN>,V6457
LC318801,Quercus kerrii,FU<JPN>:V6765,FU<JPN>,V6765
MF770273,Quercus poilanei,V2986,,V2986
MF770276,Quercus austrocochinchinensis,V3129,,V3129
MF770277,Quercus auricoma,V3135,,V3135
MF770284,Quercus neglecta,V3788,,V3788
MF770291,Quercus annulata,V4730,,V4730
MF770294,Quercus macrocalyx,V6457,,V6457
MF770295,Quercus kerrii,V6765,,V6765
